+----------+
| COUNT(*) |
+----------+
|      558 |
+----------+
+--------------------------------------+-------------+---------------+--------+---------------------+---------------------+
| source_object_id                     | xref_id     | source_action | status | last_updated        | reason_str          |
| abe3c2ef-ae5f-46b8-9f69-0df5468e39b2 | caagc-36471 | INSERT        |      3 | 2019-03-13 13:40:14 | Project is required |
| 40df4b79-cae5-46f9-ba10-285ff648fa4a | caagc-36466 | INSERT        |      3 | 2019-03-13 13:29:37 | Project is required |
| 402ca284-5482-43a1-a5e0-032c3f01c8b2 | caagc-36202 | INSERT        |      3 | 2019-03-12 21:45:47 | Project is required |
| a10e4abf-3b37-4337-91fa-0b81fd6db656 | caagc-36199 | INSERT        |      3 | 2019-03-12 21:38:47 | Project is required |
| 547004f7-244d-41fc-b002-dbef9c69c2e6 | caagc-36116 | INSERT        |      3 | 2019-03-12 19:50:44 | Project is required |
| 08730934-475a-4416-9236-ec34305033ba | caagc-36112 | INSERT        |      3 | 2019-03-12 19:39:26 | Project is required |
| d6b43246-aa89-4b4e-a9f7-380f8bdb8bf7 | caagc-35924 | INSERT        |      3 | 2019-03-12 16:22:33 | Project is required |
| 2acbc3b1-06a1-42ae-9c00-6c4cf08c3676 | caagc-35300 | INSERT        |      3 | 2019-03-11 20:24:12 | Project is required |
| 0f7ecae5-a22e-4718-b6b6-bcf43e112754 | caagc-35299 | INSERT        |      3 | 2019-03-11 20:23:50 | Project is required |
| 49612245-1a09-40b0-aa06-d7265ba24187 | caagc-35292 | INSERT        |      3 | 2019-03-11 20:12:39 | Project is required |
| 7ba01c34-3d54-4ec1-bcdf-7329832b29d6 | caagc-35291 | INSERT        |      3 | 2019-03-11 20:12:16 | Project is required |
| fe022d1f-b060-4143-a793-1321539ea8a2 | caagc-35232 | INSERT        |      3 | 2019-03-11 19:16:00 | Project is required |
| 9c171123-7681-4f45-b6fd-f48950c40888 | caagc-34935 | INSERT        |      3 | 2019-03-11 14:27:55 | Project is required |
| 3a41e4da-a51c-4f60-9fbf-db716d2ac2a2 | caagc-28485 | INSERT        |      3 | 2019-03-07 22:02:47 | Project is required |
| 653ff75f-fc14-4c0e-b0bc-9a5926892f1d | caagc-28422 | INSERT        |      3 | 2019-03-07 19:57:40 | Project is required |
| b628816e-8e1b-452e-8e5f-ad4972c25890 | caagc-28251 | INSERT        |      3 | 2019-03-07 18:41:59 | Project is required |
| 213c336f-55a8-4bb1-b196-43879a8afed2 | caagc-28163 | INSERT        |      3 | 2019-03-07 17:54:03 | Project is required |
| fe3f9a49-c6b6-4681-9cdc-bde58cc06c5f | caagc-28159 | INSERT        |      3 | 2019-03-07 17:24:36 | Project is required |
| 47001247-bb86-45a7-b3c3-25c9ef358bdc | caagc-28158 | INSERT        |      3 | 2019-03-07 17:18:49 | Project is required |
| 722a42fd-5f22-42e0-9887-a6ff636b172e | caagc-28152 | INSERT        |      3 | 2019-03-07 17:08:24 | Project is required |
| 46085bab-1478-4c72-93b1-c43ed073fbc8 | caagc-28043 | INSERT        |      3 | 2019-03-07 15:51:11 | Project is required |
| 64b5e897-54fb-455f-b2e0-f722aa4b414d | caagc-27149 | INSERT        |      3 | 2019-03-05 22:28:35 | Project is required |
